Firma,Strona,E-mail,Telefon,Miasto,Ma konfigurator,Priorytet,Data wysłania,Kanał,Odpowiedź,Następny krok,Notatki
AMIGO Garaże,amigogaraze.com,amigo.garaze@gmail.com,783 223 219,Szczyrzyc,nie,wysoki,2026-08-21,mail,czekam,przypomnieć 2026-08-28,garaże ocieplane z płyty warstwowej - dokładnie nasz temat
STALTERM,stalterm.pl,biuro@stalterm.pl,666 177 122,Koszalin,nie,wysoki,2026-08-21,mail,czekam,przypomnieć 2026-08-28,producent blach i garaży z płyty warstwowej
BLACHMET,blachmet.eu,biuroblachmet@gmail.com,796 003 901,Jodłownik,nie,wysoki,2026-08-21,mail,czekam,przypomnieć 2026-08-28,25 wymiarów w ofercie - dużo modeli do wpisania w konfigurator
Modern Garage,modern-garage.pl,info@modern-garage.pl,,Limanowa,nie sprawdzone,wysoki,2026-08-21,mail,czekam,przypomnieć 2026-08-28,blaszane i z płyty warstwowej; sprzedaje też do DE/CZ/SK/HU
Stal Blach,stalblach.pl,biuro@stalblach.pl,603 809 850,,nie sprawdzone,wysoki,2026-08-21,mail,czekam,przypomnieć 2026-08-28,garaże, bramy, wiaty, konstrukcje stalowe
Mobilbud,mobilbud.pl,biuro@mobilbud.pl,795 998 823,,nie sprawdzone,średni,,,,,garaże z płyt warstwowych, stróżówki, kontenery
Stalgar,garaze.org.pl,biuro@garaze.org.pl,728 505 030,Kraków i Warszawa,nie sprawdzone,średni,,,,,garaże premium, RAL, dwuspadowe, dwustanowiskowe
Ekostal / Tanie Blaszaki,tanieblaszaki.pl,kontakt@tanieblaszaki.pl,723 950 064,,nie sprawdzone,średni,,,,,gra ceną - konfigurator jako wyróżnik może się nie kleić z pozycjonowaniem
Viastal,vistal-garaze-blaszane.pl,kontakt@vistal-garaze-blaszane.pl,693 344 132,,nie sprawdzone,średni,,,,,garaże blaszane i drewnopodobne, bramy, kioski
ROBEXstal,robexstal.pl,biuro@robexstal.pl,723 359 028,,TAK - własny konfigurator,niski,,,,,ma konfigurator garaży ocieplanych - pitch tylko na moduł wnętrza
LiderStal,liderstal.pl,formularz na stronie,535 004 967,,TAK - własny konfigurator,niski,,,,,duży gracz, 40 aut własnej floty; mail ukryty przed robotami
IGOPOL,igopol.pl,biuro@igopol.pl,793 429 592,Jurków,TAK - skonfiguruj-garaz.pl,niski,,,,,korzysta z konkurencyjnego konfiguratora - dobre źródło wiedzy o cenach
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
